latitude, longitude
59.4048184072506,17.9478923473923
59.4043815528131,17.9485360775559
59.404422508156,17.9486433659165
59.4044197778013,17.9486621413796
59.4044866714268,17.9488338027566
59.4044975928225,17.9488364849656
59.4046054414161,17.9491288457482
59.4046586830002,17.9490510616868
59.4046846211775,17.9491207991211
59.4046354751405,17.9491932187646
59.4047528794441,17.9495043550103
59.4046341099718,17.9496706519692
59.4045235311232,17.949633101043
59.4043733617386,17.9491637144654
59.404422508156,17.94909665924
59.4043119286167,17.9487613831132
59.4042545909358,17.9488418493836
59.4042300176142,17.9487667475312
59.404149471602,17.9488659892647
59.4043460581426,17.9494694862931
59.4042900857021,17.9495472703545
59.4044825759025,17.9501239452927
59.4044907669506,17.9502124581902
59.4045112445622,17.9502687845795
59.404534452507,17.9502902422516
59.4047337671433,17.9508856926529
59.4047924691757,17.9508159552186
59.4049180638801,17.9512048755257
59.4050067989883,17.9510922227471
59.4049822262124,17.9510224853127
59.4050409278142,17.9509447012513
59.4049126032504,17.9505611453621
59.4048539014262,17.9506416116326
59.404726941319,17.9502446446984
59.4049276199798,17.9499549661248
59.4050436581188,17.9502661023705
59.4050928035638,17.9501910005181
59.405169251892,17.9503894839852
59.4052566211987,17.9502687845795
59.4050573096385,17.9497564826577
59.405221127445,17.9495150838463
59.4054136123555,17.9500220213502
59.4054955204963,17.9499093685715
59.4054190729044,17.9497001562684
59.4054764086145,17.9496223722069
59.4053003057675,17.9491583500474
59.4052607166294,17.9491959009736
59.4052279531697,17.9490832481949
59.4052566211987,17.9490322862237
59.4051815382144,17.9488525782197
59.4051337580468,17.9489357266991
59.4049972429109,17.9485709462731
59.4050491187274,17.9484958444207
